table,cat,country,country_en,country_es,first_code,last_code,total_days,months_advanced,months_held,months_retrogressed,months_current
employment_dates_for_filing,Certain Religious Workers,CHINA,China (mainland-born),China (continental),15MAR21,01JAN23,0,0,5,0,0
employment_dates_for_filing,Certain Religious Workers,INDIA,India,India,15MAR21,01JAN23,0,0,5,0,0
employment_dates_for_filing,Certain Religious Workers,MEXICO,Mexico,México,15MAR21,01JAN23,0,0,5,0,0
employment_dates_for_filing,Certain Religious Workers,PHILIPPINES,Philippines,Filipinas,15MAR21,01JAN23,0,0,5,0,0
employment_dates_for_filing,"5th Unreserved (including C5, T5, I5, R5)",ALL,All other countries,Todos los demás países,C,C,0,0,0,0,7
employment_dates_for_filing,"5th Unreserved (including C5, T5, I5, R5)",CHINA,China (mainland-born),China (continental),22AUG16,01MAR17,191,2,5,0,0
employment_dates_for_filing,"5th Unreserved (including C5, T5, I5, R5)",INDIA,India,India,01MAY24,01MAY24,0,0,7,0,0
employment_dates_for_filing,"5th Unreserved (including C5, T5, I5, R5)",MEXICO,Mexico,México,C,C,0,0,0,0,7
employment_dates_for_filing,"5th Unreserved (including C5, T5, I5, R5)",PHILIPPINES,Philippines,Filipinas,C,C,0,0,0,0,7
employment_dates_for_filing,"5th Set Aside: (Rural: NR, RR - 20%)",ALL,All other countries,Todos los demás países,C,C,0,0,0,0,7
employment_dates_for_filing,"5th Set Aside: (Rural: NR, RR - 20%)",CHINA,China (mainland-born),China (continental),C,C,0,0,0,0,7
employment_dates_for_filing,"5th Set Aside: (Rural: NR, RR - 20%)",INDIA,India,India,C,C,0,0,0,0,7
employment_dates_for_filing,"5th Set Aside: (Rural: NR, RR - 20%)",MEXICO,Mexico,México,C,C,0,0,0,0,7
employment_dates_for_filing,"5th Set Aside: (Rural: NR, RR - 20%)",PHILIPPINES,Philippines,Filipinas,C,C,0,0,0,0,7
employment_dates_for_filing,"5th Set Aside: (High Unemployment: NH, RH - 10%)",ALL,All other countries,Todos los demás países,C,C,0,0,0,0,7
employment_dates_for_filing,"5th Set Aside: (High Unemployment: NH, RH - 10%)",CHINA,China (mainland-born),China (continental),C,C,0,0,0,0,7
employment_dates_for_filing,"5th Set Aside: (High Unemployment: NH, RH - 10%)",INDIA,India,India,C,C,0,0,0,0,7
employment_dates_for_filing,"5th Set Aside: (High Unemployment: NH, RH - 10%)",MEXICO,Mexico,México,C,C,0,0,0,0,7
employment_dates_for_filing,"5th Set Aside: (High Unemployment: NH, RH - 10%)",PHILIPPINES,Philippines,Filipinas,C,C,0,0,0,0,7
employment_dates_for_filing,5th Set Aside: (Infrastructure: RI - 2%),ALL,All other countries,Todos los demás países,C,C,0,0,0,0,7
employment_dates_for_filing,5th Set Aside: (Infrastructure: RI - 2%),CHINA,China (mainland-born),China (continental),C,C,0,0,0,0,7
employment_dates_for_filing,5th Set Aside: (Infrastructure: RI - 2%),INDIA,India,India,C,C,0,0,0,0,7
employment_dates_for_filing,5th Set Aside: (Infrastructure: RI - 2%),MEXICO,Mexico,México,C,C,0,0,0,0,7
employment_dates_for_filing,5th Set Aside: (Infrastructure: RI - 2%),PHILIPPINES,Philippines,Filipinas,C,C,0,0,0,0,7
