date,effective_on,type,title,document_number,citation,url,pdf_url,agency,scope
2010-11-02,2011-03-18,Notice,Extension of the Designation of Somalia for Temporary Protected Status,2010-27613,75 FR 67383,https://www.federalregister.gov/documents/2010/11/02/2010-27613/extension-of-the-designation-of-somalia-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2010-11-02/pdf/2010-27613.pdf,Homeland Security Department,country
2011-05-19,2011-07-23,Notice,Extension and Redesignation of Haiti for Temporary Protected Status,2011-12440,76 FR 29000,https://www.federalregister.gov/documents/2011/05/19/2011-12440/extension-and-redesignation-of-haiti-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2011-05-19/pdf/2011-12440.pdf,Homeland Security Department,country
2011-05-23,2011-07-23,Notice,Re-registration Procedures for Temporary Protected Status (TPS) Beneficiaries Under the Extended TPS Designation of Haiti and Automatic Extension of Employment Authorization Documentation for Haitian TPS Beneficiaries,2011-12576,76 FR 29777,https://www.federalregister.gov/documents/2011/05/23/2011-12576/re-registration-procedures-for-temporary-protected-status-tps-beneficiaries-under-the-extended-tps,https://www.govinfo.gov/content/pkg/FR-2011-05-23/pdf/2011-12576.pdf,Homeland Security Department,country
2011-10-13,2011-11-03,Notice,Designation of Republic of South Sudan for Temporary Protected Status,2011-26537,76 FR 63629,https://www.federalregister.gov/documents/2011/10/13/2011-26537/designation-of-republic-of-south-sudan-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2011-10-13/pdf/2011-26537.pdf,Homeland Security Department,country
2011-10-13,2011-11-03,Notice,Extension of the Designation of Sudan for Temporary Protected Status and Automatic Extension of Employment Authorization Documentation for Sudanese TPS Beneficiaries,2011-26538,76 FR 63635,https://www.federalregister.gov/documents/2011/10/13/2011-26538/extension-of-the-designation-of-sudan-for-temporary-protected-status-and-automatic-extension-of,https://www.govinfo.gov/content/pkg/FR-2011-10-13/pdf/2011-26538.pdf,Homeland Security Department,country
2011-11-04,2012-01-06,Notice,Extension of the Designation of Nicaragua for Temporary Protected Status and Automatic Extension of Employment Authorization Documentation for Nicaraguan TPS Beneficiaries,2011-28316,76 FR 68493,https://www.federalregister.gov/documents/2011/11/04/2011-28316/extension-of-the-designation-of-nicaragua-for-temporary-protected-status-and-automatic-extension-of,https://www.govinfo.gov/content/pkg/FR-2011-11-04/pdf/2011-28316.pdf,Homeland Security Department,country
2011-11-04,2012-01-06,Notice,Extension of the Designation of Honduras for Temporary Protected Status and Automatic Extension of Employment Authorization Documentation for Honduran TPS Beneficiaries,2011-28321,76 FR 68488,https://www.federalregister.gov/documents/2011/11/04/2011-28321/extension-of-the-designation-of-honduras-for-temporary-protected-status-and-automatic-extension-of,https://www.govinfo.gov/content/pkg/FR-2011-11-04/pdf/2011-28321.pdf,Homeland Security Department,country
2012-01-11,2012-03-10,Notice,Extension of the Designation of El Salvador for Temporary Protected Status and Automatic Extension of Employment Authorization Documentation for Salvadoran TPS Beneficiaries,2012-143,77 FR 1710,https://www.federalregister.gov/documents/2012/01/11/2012-143/extension-of-the-designation-of-el-salvador-for-temporary-protected-status-and-automatic-extension,https://www.govinfo.gov/content/pkg/FR-2012-01-11/pdf/2012-143.pdf,Homeland Security Department,country
2012-01-20,2012-03-10,Notice,Extension of the Designation of El Salvador for Temporary Protected Status and Automatic Extension of Employment Authorization Documentation for Salvadoran TPS Beneficiaries; Correction,2012-1169,77 FR 2990,https://www.federalregister.gov/documents/2012/01/20/2012-1169/extension-of-the-designation-of-el-salvador-for-temporary-protected-status-and-automatic-extension,https://www.govinfo.gov/content/pkg/FR-2012-01-20/pdf/2012-1169.pdf,Homeland Security Department,country
2012-03-29,2012-03-29,Notice,Designation of Syrian Arab Republic for Temporary Protected Status,2012-7498,77 FR 19026,https://www.federalregister.gov/documents/2012/03/29/2012-7498/designation-of-syrian-arab-republic-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2012-03-29/pdf/2012-7498.pdf,Homeland Security Department,country
2012-04-03,,Notice,Designation of Syrian Arab Republic for Temporary Protected Status,C1-2012-7498,77 FR 20046,https://www.federalregister.gov/documents/2012/04/03/C1-2012-7498/designation-of-syrian-arab-republic-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2012-04-03/pdf/C1-2012-7498.pdf,Homeland Security Department,country
