date,effective_on,type,title,document_number,citation,url,pdf_url,agency,scope
2023-12-14,,Notice,"Extension of Re-Registration Periods for Extensions of the Temporary Protected Status Designations of El Salvador, Haiti, Honduras, Nepal, Nicaragua, and Sudan",2023-27342,88 FR 86665,https://www.federalregister.gov/documents/2023/12/14/2023-27342/extension-of-re-registration-periods-for-extensions-of-the-temporary-protected-status-designations,https://www.govinfo.gov/content/pkg/FR-2023-12-14/pdf/2023-27342.pdf,Homeland Security Department,country
2024-01-29,,Notice,Extension and Redesignation of Syria for Temporary Protected Status,2024-01764,89 FR 5562,https://www.federalregister.gov/documents/2024/01/29/2024-01764/extension-and-redesignation-of-syria-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2024-01-29/pdf/2024-01764.pdf,Homeland Security Department,country
2024-03-25,,Notice,Extension and Redesignation of Burma (Myanmar) for Temporary Protected Status,2024-06104,89 FR 20682,https://www.federalregister.gov/documents/2024/03/25/2024-06104/extension-and-redesignation-of-burma-myanmar-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2024-03-25/pdf/2024-06104.pdf,Homeland Security Department,country
2024-04-15,,Notice,Extension and Redesignation of Ethiopia for Temporary Protected Status,2024-07643,89 FR 26172,https://www.federalregister.gov/documents/2024/04/15/2024-07643/extension-and-redesignation-of-ethiopia-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2024-04-15/pdf/2024-07643.pdf,Homeland Security Department,country
2024-07-01,,Notice,Extension and Redesignation of Haiti for Temporary Protected Status,2024-14247,89 FR 54484,https://www.federalregister.gov/documents/2024/07/01/2024-14247/extension-and-redesignation-of-haiti-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2024-07-01/pdf/2024-14247.pdf,Homeland Security Department,country
2024-07-10,,Notice,Extension and Redesignation of Yemen for Temporary Protected Status,2024-15084,89 FR 56765,https://www.federalregister.gov/documents/2024/07/10/2024-15084/extension-and-redesignation-of-yemen-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2024-07-10/pdf/2024-15084.pdf,Homeland Security Department,country
2024-07-22,,Notice,Extension and Redesignation of Somalia for Temporary Protected Status,2024-15829,89 FR 59135,https://www.federalregister.gov/documents/2024/07/22/2024-15829/extension-and-redesignation-of-somalia-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2024-07-22/pdf/2024-15829.pdf,Homeland Security Department,country
2024-11-27,,Notice,Designation of Lebanon for Temporary Protected Status,2024-27788,89 FR 93641,https://www.federalregister.gov/documents/2024/11/27/2024-27788/designation-of-lebanon-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2024-11-27/pdf/2024-27788.pdf,Homeland Security Department,country
2025-01-17,,Notice,Extension of the Designation of El Salvador for Temporary Protected Status,2025-00626,90 FR 5953,https://www.federalregister.gov/documents/2025/01/17/2025-00626/extension-of-the-designation-of-el-salvador-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2025-01-17/pdf/2025-00626.pdf,Homeland Security Department,country
2025-01-17,,Notice,Extension of the 2023 Designation of Venezuela for Temporary Protected Status,2025-00769,90 FR 5961,https://www.federalregister.gov/documents/2025/01/17/2025-00769/extension-of-the-2023-designation-of-venezuela-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2025-01-17/pdf/2025-00769.pdf,Homeland Security Department,country
2025-01-17,,Notice,Extension of the Designation of Sudan for Temporary Protected Status,2025-00770,90 FR 5944,https://www.federalregister.gov/documents/2025/01/17/2025-00770/extension-of-the-designation-of-sudan-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2025-01-17/pdf/2025-00770.pdf,Homeland Security Department,country
2025-01-17,,Notice,Extension of the Designation of Ukraine for Temporary Protected Status,2025-00771,90 FR 5936,https://www.federalregister.gov/documents/2025/01/17/2025-00771/extension-of-the-designation-of-ukraine-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2025-01-17/pdf/2025-00771.pdf,Homeland Security Department,country
2025-02-03,,Notice,Vacatur of 2025 Temporary Protected Status Decision for Venezuela,2025-02183,90 FR 8805,https://www.federalregister.gov/documents/2025/02/03/2025-02183/vacatur-of-2025-temporary-protected-status-decision-for-venezuela,https://www.govinfo.gov/content/pkg/FR-2025-02-03/pdf/2025-02183.pdf,Homeland Security Department,country
2025-02-05,2025-04-07,Notice,"Termination of the October 3, 2023 Designation of Venezuela for Temporary Protected Status",2025-02294,90 FR 9040,https://www.federalregister.gov/documents/2025/02/05/2025-02294/termination-of-the-october-3-2023-designation-of-venezuela-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2025-02-05/pdf/2025-02294.pdf,Homeland Security Department,country
2025-02-24,2024-06-04,Notice,Partial Vacatur of 2024 Temporary Protected Status Decision for Haiti,2025-02970,90 FR 10511,https://www.federalregister.gov/documents/2025/02/24/2025-02970/partial-vacatur-of-2024-temporary-protected-status-decision-for-haiti,https://www.govinfo.gov/content/pkg/FR-2025-02-24/pdf/2025-02970.pdf,Homeland Security Department,country
2025-05-06,2025-05-04,Notice,Extension of South Sudan Designation for Temporary Protected Status,2025-07976,90 FR 19217,https://www.federalregister.gov/documents/2025/05/06/2025-07976/extension-of-south-sudan-designation-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2025-05-06/pdf/2025-07976.pdf,Homeland Security Department,country
2025-05-13,2025-07-14,Notice,Termination of the Designation of Afghanistan for Temporary Protected Status,2025-08201,90 FR 20309,https://www.federalregister.gov/documents/2025/05/13/2025-08201/termination-of-the-designation-of-afghanistan-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2025-05-13/pdf/2025-08201.pdf,Homeland Security Department,country
2025-06-04,2025-08-04,Notice,Termination of the Designation of Cameroon for Temporary Protected Status,2025-10236,90 FR 23697,https://www.federalregister.gov/documents/2025/06/04/2025-10236/termination-of-the-designation-of-cameroon-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2025-06-04/pdf/2025-10236.pdf,Homeland Security Department,country
2025-06-06,2025-08-05,Notice,Termination of the Designation of Nepal for Temporary Protected Status,2025-10363,90 FR 24151,https://www.federalregister.gov/documents/2025/06/06/2025-10363/termination-of-the-designation-of-nepal-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2025-06-06/pdf/2025-10363.pdf,Homeland Security Department,country
2025-07-01,2025-09-02,Notice,Termination of the Designation of Haiti for Temporary Protected Status,2025-12224,90 FR 28760,https://www.federalregister.gov/documents/2025/07/01/2025-12224/termination-of-the-designation-of-haiti-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2025-07-01/pdf/2025-12224.pdf,Homeland Security Department,country
2025-07-08,2025-09-08,Notice,Termination of the Designation of Honduras for Temporary Protected Status,2025-12621,90 FR 30089,https://www.federalregister.gov/documents/2025/07/08/2025-12621/termination-of-the-designation-of-honduras-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2025-07-08/pdf/2025-12621.pdf,Homeland Security Department,country
2025-07-08,2025-09-08,Notice,Termination of the Designation of Nicaragua for Temporary Protected Status,2025-12688,90 FR 30086,https://www.federalregister.gov/documents/2025/07/08/2025-12688/termination-of-the-designation-of-nicaragua-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2025-07-08/pdf/2025-12688.pdf,Homeland Security Department,country
2025-09-08,2025-11-07,Notice,Termination of the 2021 Designation of Venezuela for Temporary Protected Status,2025-17087,90 FR 43225,https://www.federalregister.gov/documents/2025/09/08/2025-17087/termination-of-the-2021-designation-of-venezuela-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2025-09-08/pdf/2025-17087.pdf,Homeland Security Department,country
2025-09-22,2025-11-21,Notice,Termination of the Designation of Syria for Temporary Protected Status,2025-18322,90 FR 45398,https://www.federalregister.gov/documents/2025/09/22/2025-18322/termination-of-the-designation-of-syria-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2025-09-22/pdf/2025-18322.pdf,Homeland Security Department,country
2025-11-06,2026-01-05,Notice,Termination of the Designation of South Sudan for Temporary Protected Status,2025-19800,90 FR 50484,https://www.federalregister.gov/documents/2025/11/06/2025-19800/termination-of-the-designation-of-south-sudan-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2025-11-06/pdf/2025-19800.pdf,Homeland Security Department,country
2025-11-25,2026-01-26,Notice,Termination of the Designation of Burma (Myanmar) for Temporary Protected Status,2025-21069,90 FR 53378,https://www.federalregister.gov/documents/2025/11/25/2025-21069/termination-of-the-designation-of-burma-myanmar-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2025-11-25/pdf/2025-21069.pdf,Homeland Security Department,country
2025-11-28,2026-02-03,Notice,Termination of the Designation of Haiti for Temporary Protected Status,2025-21379,90 FR 54733,https://www.federalregister.gov/documents/2025/11/28/2025-21379/termination-of-the-designation-of-haiti-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2025-11-28/pdf/2025-21379.pdf,Homeland Security Department,country
2025-12-15,2026-02-13,Notice,Termination of the Designation of Ethiopia for Temporary Protected Status,2025-22746,90 FR 58028,https://www.federalregister.gov/documents/2025/12/15/2025-22746/termination-of-the-designation-of-ethiopia-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2025-12-15/pdf/2025-22746.pdf,Homeland Security Department,country
2026-01-14,2026-03-17,Notice,Termination of the Designation of Somalia for Temporary Protected Status,2026-00596,91 FR 1547,https://www.federalregister.gov/documents/2026/01/14/2026-00596/termination-of-the-designation-of-somalia-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2026-01-14/pdf/2026-00596.pdf,Homeland Security Department,country
2026-03-03,2026-05-04,Notice,Termination of the Designation of Yemen for Temporary Protected Status,2026-04179,91 FR 10402,https://www.federalregister.gov/documents/2026/03/03/2026-04179/termination-of-the-designation-of-yemen-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2026-03-03/pdf/2026-04179.pdf,Homeland Security Department,country
2026-05-29,2026-05-28,Notice,Extension of Lebanon Designation for Temporary Protected Status,2026-10704,91 FR 32069,https://www.federalregister.gov/documents/2026/05/29/2026-10704/extension-of-lebanon-designation-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2026-05-29/pdf/2026-10704.pdf,Homeland Security Department,country
