form,effective,published,amount,citation,fr_document,url,source_sentence
I-929,2016-12-23,2016-10-24,230,81 FR 73292,2016-25328,https://www.federalregister.gov/documents/2016/10/24/2016-25328/us-citizenship-and-immigration-services-fee-schedule,"(YY) Petition for Qualifying Family Member of a U-1 Nonimmigrant, Form I-929. For U-1 principal applicant to submit for each qualifying family member who plans to seek an immigrant visa or adjustment of U status: $230."
I-94,2010-11-23,2010-09-24,6,75 FR 58962,2010-23725,https://www.federalregister.gov/documents/2010/09/24/2010-23725/us-citizenship-and-immigration-services-fee-schedule,(D) Form I-94. For issuance of Arrival/Departure Record at a land border port-of-entry: $6.00.
I-94,2024-04-01,2024-01-31,6,89 FR 6194,2024-01427,https://www.federalregister.gov/documents/2024/01/31/2024-01427/us-citizenship-and-immigration-services-fee-schedule-and-changes-to-certain-other-immigration,(4) Form I-94. For issuance of Arrival/Departure Record at a land border port-of-entry: $6.00.
I-94W,2010-11-23,2010-09-24,6,75 FR 58962,2010-23725,https://www.federalregister.gov/documents/2010/09/24/2010-23725/us-citizenship-and-immigration-services-fee-schedule,(E) Form I-94W. For issuance of Nonimmigrant Visa Waiver Arrival/ Departure Form at a land border port-of-entry under section 217 of the Act: $6.00.
I-94W,2024-04-01,2024-01-31,6,89 FR 6194,2024-01427,https://www.federalregister.gov/documents/2024/01/31/2024-01427/us-citizenship-and-immigration-services-fee-schedule-and-changes-to-certain-other-immigration,(5) Form I-94W. For issuance of Nonimmigrant Visa Waiver Arrival/ Departure Form at a land border port-of-entry under section 217 of the Act: $6.00.
N-300,2010-11-23,2010-09-24,250,75 FR 58962,2010-23725,https://www.federalregister.gov/documents/2010/09/24/2010-23725/us-citizenship-and-immigration-services-fee-schedule,(VV) Application to File Declaration of Intention (Form N-300). For filing an application for declaration of intention to become a U.S. citizen: $250.
N-300,2016-12-23,2016-10-24,270,81 FR 73292,2016-25328,https://www.federalregister.gov/documents/2016/10/24/2016-25328/us-citizenship-and-immigration-services-fee-schedule,"(ZZ) Application to File Declaration of Intention, Form N-300. For filing an application for declaration of intention to become a U.S. citizen: $270."
N-300,2024-04-01,2024-01-31,320,89 FR 6194,2024-01427,https://www.federalregister.gov/documents/2024/01/31/2024-01427/us-citizenship-and-immigration-services-fee-schedule-and-changes-to-certain-other-immigration,"(1) Application to File Declaration of Intention, Form N-300. For a permanent resident to declare their intent to become a U.S. citizen. $320."
N-336,2010-11-23,2010-09-24,650,75 FR 58962,2010-23725,https://www.federalregister.gov/documents/2010/09/24/2010-23725/us-citizenship-and-immigration-services-fee-schedule,(WW) Request for a Hearing on a Decision in Naturalization Proceedings (under section 336 of the Act) (Form N-336). For filing a request for hearing on a decision in naturalization proceedings under section 336 of the Act: $650.
N-336,2016-12-23,2016-10-24,700,81 FR 73292,2016-25328,https://www.federalregister.gov/documents/2016/10/24/2016-25328/us-citizenship-and-immigration-services-fee-schedule,"(AAA) Request for a Hearing on a Decision in Naturalization Proceedings (Under section 336 of the Act), Form N-336. For filing a request for hearing on a decision in naturalization proceedings under section 336 of the Act: $700."
N-336,2024-04-01,2024-01-31,830,89 FR 6194,2024-01427,https://www.federalregister.gov/documents/2024/01/31/2024-01427/us-citizenship-and-immigration-services-fee-schedule-and-changes-to-certain-other-immigration,"(2) Request for a Hearing on a Decision in Naturalization Proceedings Under Section 336, Form N-336. To request a hearing before an immigration officer on the denial of Form N-400, Application for Naturalization. $830."
